sample	genes	both_positive	pearson_log2	spearman_log2	median_ratio_abi_over_aw	mean_ratio_abi_over_aw	abi_total	airway_total	total_ratio
SRR1039508	63677	22877	0.976200735063394	0.957953022769995	1.97275204359673	1.82554107509363	37753803	20637971	1.82933695371507
SRR1039509	63677	22776	0.976480846577154	0.957904320408173	1.96882376464185	1.82541165988481	34363029	18809481	1.82689937058869
SRR1039512	63677	23930	0.974984575886257	0.95759909148283	1.94633205646219	1.80059783554962	46282863	25348649	1.82585127120581
SRR1039513	63677	21337	0.975337376068446	0.955119793033559	1.94103773584906	1.81167460374404	27561920	15163415	1.81765914868122
SRR1039516	63677	23777	0.976838135989271	0.959325943262295	1.93129770992366	1.81695109539568	44189194	24448408	1.8074466852811
SRR1039517	63677	24115	0.976517945309218	0.957524722217195	1.92925170068027	1.78047688247587	56122870	30818215	1.82109411593111
SRR1039520	63677	22835	0.975461678361424	0.956094874725105	1.93456505003849	1.79857712214134	34602576	19126151	1.80917613794851
SRR1039521	63677	22173	0.975987107787726	0.956272738129584	1.93469387755102	1.82725064448021	38403626	21164133	1.81456173990213
