sample_id	tool	metric	value	unit	source_file
SRR1039508	star	Number of reads unmapped: too short	323215		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	% of reads unmapped: too short	1.44%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Number of reads unmapped: other	5971		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	% of reads unmapped: other	0.03%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	Number of chimeric reads	0		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039508	star	% of chimeric reads	0.00%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039508/SRR1039508.Log.final.out
SRR1039509	star	Started job on	Aug 09 23:17:22		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Started mapping on	Aug 09 23:17:45		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Finished on	Aug 09 23:19:30		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Mapping speed, Million of reads per hour	704.55		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Number of input reads	20549417		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Average input read length	125		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Uniquely mapped reads number	19316851		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Uniquely mapped reads %	94.00%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Average mapped length	125.52		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Number of splices: Total	8607239		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Number of splices: Annotated (sjdb)	8564445		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
