sample_id	tool	metric	value	unit	source_file
SRR1039509	fastp	before_filtering.gc_content	0.496687		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039509/SRR1039509.fastp.json
SRR1039509	fastp	after_filtering.total_reads	41098834		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039509/SRR1039509.fastp.json
SRR1039509	fastp	after_filtering.total_bases	2586955836		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039509/SRR1039509.fastp.json
SRR1039509	fastp	after_filtering.q20_bases	2551886493		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039509/SRR1039509.fastp.json
SRR1039509	fastp	after_filtering.q30_bases	2496517449		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039509/SRR1039509.fastp.json
SRR1039509	fastp	after_filtering.q20_rate	0.986444		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039509/SRR1039509.fastp.json
SRR1039509	fastp	after_filtering.q30_rate	0.965041		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039509/SRR1039509.fastp.json
SRR1039509	fastp	after_filtering.read1_mean_length	62		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039509/SRR1039509.fastp.json
SRR1039509	fastp	after_filtering.read2_mean_length	62		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039509/SRR1039509.fastp.json
SRR1039509	fastp	after_filtering.gc_content	0.49622		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039509/SRR1039509.fastp.json
SRR1039512	fastp	before_filtering.total_reads	56272564		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	before_filtering.total_bases	3545171532		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	before_filtering.q20_bases	3451786022		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	before_filtering.q30_bases	3346065538		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	before_filtering.q20_rate	0.973658		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	before_filtering.q30_rate	0.943837		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	before_filtering.read1_mean_length	63		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
