evidence_stage	plasmid_count	definition
Primary calls	165	Raw primary plasmid calls in the 2026-08-10 canonical rerun
Consensus candidates	156	Consensus plasmid candidates after integration in the canonical rerun
Terminal-repeat support	53	Canonical consensus candidates with DTR or ITR evidence
AMR-supported follow-up	1	AMRFinderPlus recovery hit in the dated 2026-08-11 follow-up run
