tool_id	executable	env_name	version	status
bakta	bakta	autoplasm-annotation	bakta 1.12.0	captured
bowtie2	bowtie2	autoplasm-abundance	/root/autodl-tmp/.mamba/envs/autoplasm-abundance/bin/bowtie2-align-s version 2.5.5
64-bit
Built on runnervmn36qa
Tue Feb	captured
coverm	coverm	autoplasm-abundance	coverm 0.7.0	captured
fastp	fastp	autoplasm-qc	fastp 1.3.5	captured
genomad	genomad	autoplasm-plasmid-detect	geNomad, version 1.12.0	captured
megahit	megahit	autoplasm-assembly	MEGAHIT v1.2.9	captured
plasmidfinder	python	autoplasm-annotation	3.0.3	captured
report_markdown	abi	autoplasm-base	1.5.11.1	captured
samtools	samtools	autoplasm-abundance	samtools 1.23.1
Using htslib 1.23.1
Copyright (C) 2025 Genome Research Ltd.

Samtools compilation details:
    Features:	captured
